beer,beer_id,tasting_category_fine,part,fold
233,5413023000264,Scotch,fold_train,8
123,5425026960018,Stout/Porter,fold_train,8
168,5410263060034,Scotch,fold_train,8
12,5410228141587,Lambic,fold_train,8
89,5412983140027,Brown,fold_train,8
13,5410228196600,Christmas,fold_train,8
93,5425006700139,Tripel,fold_train,8
53,5411681037004,Brown,fold_train,8
162,5425018070015,Lambic,fold_train,8
219,5411681401775,Hoppy,fold_train,8
60,5425029020078,Christmas,fold_train,8
65,5411283000017,Hoppy,fold_train,8
177,5425100322608,Fruitbeer,fold_train,8
75,5412783052018,Lambic,fold_train,8
181,5412896532032,Christmas,fold_train,8
239,54055049,Tripel,fold_train,8
182,5425028290311,Stout/Porter,fold_train,8
104,5412858000081,Strong ale,fold_train,8
199,5411858000145,Tripel,fold_train,8
227,5411223030098,Fruitbeer,fold_train,8
185,54055001,Pils/Lager,fold_train,8
163,5425017240457,Tripel,fold_train,8
245,5412186000098,Tripel,fold_train,8
56,5413963600012,Saison,fold_train,8
40,5410228141181,Low/No alcohol,fold_train,8
99,5413970140396,Strong ale,fold_train,8
84,5411516000517,West Flanders ale,fold_train,8
78,5425006240017,Brown,fold_train,8
11,8718754310017,Amber,fold_train,8
32,54050051,Amber,fold_train,8
234,5425029490024,Blond,fold_train,8
124,5412186002658,Pils/Lager,fold_train,8
191,5411098700010,Tripel,fold_train,8
190,875213000068,Flanders old brown,fold_train,8
100,875213000082,Dubbel,fold_train,8
204,5425006240024,Tripel,fold_train,8
149,5425031010012,Blond,fold_train,8
179,5411081004736,Flanders old brown,fold_train,8
218,54057142,Pils/Lager,fold_train,8
151,5411516001491,Faro,fold_train,8
141,5410228141174,Low/No alcohol,fold_train,8
76,5412583240837,Blond,fold_train,8
111,5411276100540,Dubbel,fold_train,8
82,5411516002269,Kriek,fold_train,8
128,5425014681017,Amber,fold_train,8
80,5415152000313,Hoppy,fold_train,8
27,5425036850019,Hoppy,fold_train,8
92,9120041150685,Amber,fold_train,8
57,5410228141921,Tripel,fold_train,8
51,5411081000523,Strong ale,fold_train,8
229,62067029172,Wheat,fold_train,8
137,54057012,Amber,fold_train,8
119,5411831000742,Pils/Lager,fold_train,8
5,5400000000006,Blond,fold_train,8
96,5411681080000,Pils/Lager,fold_train,8
71,5410228218791,Blond,fold_train,8
1,5413970150111,Brut,fold_train,8
31,5411681401164,Hoppy,fold_train,8
133,5412896000081,Strong ale,fold_train,8
86,5410783031019,Low/No alcohol,fold_train,8
165,5411081000363,Fruitbeer,fold_train,8
107,5412343152332,Dubbel,fold_train,8
220,5412783053015,Kriek,fold_train,8
215,5413963100017,Blond,fold_train,8
4,54079021,Strong ale,fold_train,8
55,5425023990698,Hoppy,fold_train,8
127,54138278,Blond,fold_train,8
222,5425029490055,Brett/cofermented,fold_train,8
16,5411098700003,Dubbel,fold_train,8
35,8711406995075,Blond,fold_train,8
208,54079052,Wheat,fold_train,8
212,5425006700054,Stout/Porter,fold_train,8
164,5425007658828,Blond,fold_train,8
154,5425029490017,Tripel,fold_train,8
101,5425036450004,Blond,fold_train,8
