beer,beer_id,tasting_category_fine,part,fold
233,5413023000264,Scotch,fold_train,7
123,5425026960018,Stout/Porter,fold_train,7
168,5410263060034,Scotch,fold_train,7
187,5425017240075,Dubbel,fold_train,7
12,5410228141587,Lambic,fold_train,7
89,5412983140027,Brown,fold_train,7
13,5410228196600,Christmas,fold_train,7
93,5425006700139,Tripel,fold_train,7
241,608782666133,Kriek,fold_train,7
53,5411681037004,Brown,fold_train,7
162,5425018070015,Lambic,fold_train,7
219,5411681401775,Hoppy,fold_train,7
60,5425029020078,Christmas,fold_train,7
65,5411283000017,Hoppy,fold_train,7
177,5425100322608,Fruitbeer,fold_train,7
226,5412186000715,Strong ale,fold_train,7
181,5412896532032,Christmas,fold_train,7
209,54085107,Pils/Lager,fold_train,7
239,54055049,Tripel,fold_train,7
182,5425028290311,Stout/Porter,fold_train,7
142,54112087,Wheat,fold_train,7
199,5411858000145,Tripel,fold_train,7
227,5411223030098,Fruitbeer,fold_train,7
185,54055001,Pils/Lager,fold_train,7
163,5425017240457,Tripel,fold_train,7
245,5412186000098,Tripel,fold_train,7
56,5413963600012,Saison,fold_train,7
99,5413970140396,Strong ale,fold_train,7
78,5425006240017,Brown,fold_train,7
11,8718754310017,Amber,fold_train,7
32,54050051,Amber,fold_train,7
234,5425029490024,Blond,fold_train,7
106,5413977000044,Christmas,fold_train,7
191,5411098700010,Tripel,fold_train,7
190,875213000068,Flanders old brown,fold_train,7
100,875213000082,Dubbel,fold_train,7
204,5425006240024,Tripel,fold_train,7
73,5410769100081,Blond,fold_train,7
149,5425031010012,Blond,fold_train,7
179,5411081004736,Flanders old brown,fold_train,7
218,54057142,Pils/Lager,fold_train,7
151,5411516001491,Faro,fold_train,7
62,5410228134879,Blond,fold_train,7
141,5410228141174,Low/No alcohol,fold_train,7
111,5411276100540,Dubbel,fold_train,7
128,5425014681017,Amber,fold_train,7
80,5415152000313,Hoppy,fold_train,7
27,5425036850019,Hoppy,fold_train,7
92,9120041150685,Amber,fold_train,7
57,5410228141921,Tripel,fold_train,7
51,5411081000523,Strong ale,fold_train,7
229,62067029172,Wheat,fold_train,7
137,54057012,Amber,fold_train,7
119,5411831000742,Pils/Lager,fold_train,7
5,5400000000006,Blond,fold_train,7
131,5410769200088,Scotch,fold_train,7
96,5411681080000,Pils/Lager,fold_train,7
1,5413970150111,Brut,fold_train,7
31,5411681401164,Hoppy,fold_train,7
133,5412896000081,Strong ale,fold_train,7
86,5410783031019,Low/No alcohol,fold_train,7
165,5411081000363,Fruitbeer,fold_train,7
107,5412343152332,Dubbel,fold_train,7
220,5412783053015,Kriek,fold_train,7
4,54079021,Strong ale,fold_train,7
55,5425023990698,Hoppy,fold_train,7
127,54138278,Blond,fold_train,7
222,5425029490055,Brett/cofermented,fold_train,7
16,5411098700003,Dubbel,fold_train,7
35,8711406995075,Blond,fold_train,7
208,54079052,Wheat,fold_train,7
45,5412343201337,Tripel,fold_train,7
212,5425006700054,Stout/Porter,fold_train,7
164,5425007658828,Blond,fold_train,7
154,5425029490017,Tripel,fold_train,7
101,5425036450004,Blond,fold_train,7
33,5425005660465,Fruitbeer,fold_train,7
217,5425006241687,Tripel,fold_train,7
74,5412783054012,Faro,fold_train,7
138,5411223010557,Kriek,fold_train,7
246,5410783001432,Blond,fold_train,7
10,5410228202929,Low/No alcohol,fold_train,7
15,54079045,Tripel,fold_train,7
18,1882,Lambic,fold_train,7
118,5411364151119,West Flanders ale,fold_train,7
46,5411276200325,Blond,fold_train,7
147,5412107000466,Tripel,fold_train,7
173,5425005660809,Stout/Porter,fold_train,7
200,54125001,West Flanders ale,fold_train,7
214,5425006240147,Christmas,fold_train,7
54,549619093094,Kriek,fold_train,7
192,5410693100324,Brut,fold_train,7
144,5411516002306,Lambic,fold_train,7
87,5412896001507,Stout/Porter,fold_train,7
39,5430000193009,Hoppy,fold_train,7
201,741360987296,Stout/Porter,fold_train,7
52,8715951011112,Stout/Porter,fold_train,7
77,8711406023563,Blond,fold_train,7
79,5425029020054,Hoppy,fold_train,7
183,5410702000805,Saison,fold_train,7
244,5413784109060,West Flanders ale,fold_train,7
17,5425014687019,Tripel,fold_train,7
170,5411663002716,Strong ale,fold_train,7
20,5425005660205,Saison,fold_train,7
207,5411223030036,Fruitbeer,fold_train,7
238,5412896000432,Blond,fold_train,7
223,5410228231325,Low/No alcohol,fold_train,7
6,8711406031766,Amber,fold_train,7
24,5411656050212,Kriek,fold_train,7
116,5411656051097,Lambic,fold_train,7
136,54085176,Blond,fold_train,7
3,54055308,Blond,fold_train,7
23,5411681014005,Tripel,fold_train,7
7,5425025910809,Saison,fold_train,7
152,5410702001307,Wheat,fold_train,7
58,5425024151210,Saison,fold_train,7
178,620670293948,West Flanders ale,fold_train,7
28,5425036580008,Pils/Lager,fold_train,7
172,5411681400310,Wheat,fold_train,7
248,5410263015669,Blond,fold_train,7
69,5411081000332,Tripel,fold_train,7
145,5415152000450,Saison,fold_train,7
115,5411516001453,Lambic,fold_train,7
188,8711406017487,Stout/Porter,fold_train,7
44,5411633250055,Wheat,fold_train,7
132,5410702000379,Saison,fold_train,7
37,5410908000036,Strong ale,fold_train,7
169,5411676710004,Hoppy,fold_train,7
171,5425033240028,Tripel,fold_train,7
158,54107014,Amber,fold_train,7
129,5410228146162,Brown,fold_train,7
186,112161945,Strong ale,fold_train,7
