beer,beer_id,tasting_category_fine,part,fold
233,5413023000264,Scotch,fold_train,1
123,5425026960018,Stout/Porter,fold_train,1
168,5410263060034,Scotch,fold_train,1
187,5425017240075,Dubbel,fold_train,1
12,5410228141587,Lambic,fold_train,1
89,5412983140027,Brown,fold_train,1
13,5410228196600,Christmas,fold_train,1
93,5425006700139,Tripel,fold_train,1
241,608782666133,Kriek,fold_train,1
53,5411681037004,Brown,fold_train,1
219,5411681401775,Hoppy,fold_train,1
60,5425029020078,Christmas,fold_train,1
65,5411283000017,Hoppy,fold_train,1
177,5425100322608,Fruitbeer,fold_train,1
226,5412186000715,Strong ale,fold_train,1
75,5412783052018,Lambic,fold_train,1
181,5412896532032,Christmas,fold_train,1
209,54085107,Pils/Lager,fold_train,1
239,54055049,Tripel,fold_train,1
182,5425028290311,Stout/Porter,fold_train,1
142,54112087,Wheat,fold_train,1
104,5412858000081,Strong ale,fold_train,1
227,5411223030098,Fruitbeer,fold_train,1
185,54055001,Pils/Lager,fold_train,1
163,5425017240457,Tripel,fold_train,1
56,5413963600012,Saison,fold_train,1
40,5410228141181,Low/No alcohol,fold_train,1
99,5413970140396,Strong ale,fold_train,1
84,5411516000517,West Flanders ale,fold_train,1
11,8718754310017,Amber,fold_train,1
32,54050051,Amber,fold_train,1
234,5425029490024,Blond,fold_train,1
106,5413977000044,Christmas,fold_train,1
124,5412186002658,Pils/Lager,fold_train,1
191,5411098700010,Tripel,fold_train,1
190,875213000068,Flanders old brown,fold_train,1
100,875213000082,Dubbel,fold_train,1
204,5425006240024,Tripel,fold_train,1
73,5410769100081,Blond,fold_train,1
149,5425031010012,Blond,fold_train,1
179,5411081004736,Flanders old brown,fold_train,1
218,54057142,Pils/Lager,fold_train,1
151,5411516001491,Faro,fold_train,1
62,5410228134879,Blond,fold_train,1
141,5410228141174,Low/No alcohol,fold_train,1
76,5412583240837,Blond,fold_train,1
111,5411276100540,Dubbel,fold_train,1
82,5411516002269,Kriek,fold_train,1
128,5425014681017,Amber,fold_train,1
80,5415152000313,Hoppy,fold_train,1
92,9120041150685,Amber,fold_train,1
51,5411081000523,Strong ale,fold_train,1
229,62067029172,Wheat,fold_train,1
137,54057012,Amber,fold_train,1
119,5411831000742,Pils/Lager,fold_train,1
5,5400000000006,Blond,fold_train,1
131,5410769200088,Scotch,fold_train,1
96,5411681080000,Pils/Lager,fold_train,1
71,5410228218791,Blond,fold_train,1
1,5413970150111,Brut,fold_train,1
31,5411681401164,Hoppy,fold_train,1
133,5412896000081,Strong ale,fold_train,1
165,5411081000363,Fruitbeer,fold_train,1
107,5412343152332,Dubbel,fold_train,1
220,5412783053015,Kriek,fold_train,1
215,5413963100017,Blond,fold_train,1
222,5425029490055,Brett/cofermented,fold_train,1
16,5411098700003,Dubbel,fold_train,1
35,8711406995075,Blond,fold_train,1
208,54079052,Wheat,fold_train,1
45,5412343201337,Tripel,fold_train,1
212,5425006700054,Stout/Porter,fold_train,1
164,5425007658828,Blond,fold_train,1
154,5425029490017,Tripel,fold_train,1
217,5425006241687,Tripel,fold_train,1
74,5412783054012,Faro,fold_train,1
138,5411223010557,Kriek,fold_train,1
246,5410783001432,Blond,fold_train,1
10,5410228202929,Low/No alcohol,fold_train,1
15,54079045,Tripel,fold_train,1
18,1882,Lambic,fold_train,1
118,5411364151119,West Flanders ale,fold_train,1
46,5411276200325,Blond,fold_train,1
147,5412107000466,Tripel,fold_train,1
173,5425005660809,Stout/Porter,fold_train,1
200,54125001,West Flanders ale,fold_train,1
214,5425006240147,Christmas,fold_train,1
54,549619093094,Kriek,fold_train,1
144,5411516002306,Lambic,fold_train,1
87,5412896001507,Stout/Porter,fold_train,1
39,5430000193009,Hoppy,fold_train,1
120,850413005204,Hoppy,fold_train,1
201,741360987296,Stout/Porter,fold_train,1
