beer,beer_id,tasting_category_fine,split,repeat,random_state
137,54057012,Amber,test,10,20260237
126,54085060,Amber,test,10,20260237
43,5041300503,Amber,test,10,20260237
19,5425030060032,Amber,test,10,20260237
3,54055308,Blond,test,10,20260237
136,54085176,Blond,test,10,20260237
49,5410228208358,Blond,test,10,20260237
73,5410769100081,Blond,test,10,20260237
193,5411098700034,Blond,test,10,20260237
46,5411276200325,Blond,test,10,20260237
238,5412896000432,Blond,test,10,20260237
164,5425007658828,Blond,test,10,20260237
101,5425036450004,Blond,test,10,20260237
236,54107052,Brett/cofermented,test,10,20260237
203,5425017241164,Brett/cofermented,test,10,20260237
25,54079014,Brown,test,10,20260237
206,54085015,Brown,test,10,20260237
129,5410228146162,Brown,test,10,20260237
108,5425007658880,Brown,test,10,20260237
205,793573165763,Brut,test,10,20260237
38,541286000975,Christmas,test,10,20260237
102,5411911001768,Christmas,test,10,20260237
181,5412896532032,Christmas,test,10,20260237
194,5411098730307,Dubbel,test,10,20260237
221,5412896000067,Dubbel,test,10,20260237
187,5425017240075,Dubbel,test,10,20260237
74,5412783054012,Faro,test,10,20260237
190,875213000068,Flanders old brown,test,10,20260237
167,5411858000077,Flanders old brown,test,10,20260237
165,5411081000363,Fruitbeer,test,10,20260237
227,5411223030098,Fruitbeer,test,10,20260237
120,850413005204,Hoppy,test,10,20260237
114,5410769300085,Hoppy,test,10,20260237
9,5411081005368,Hoppy,test,10,20260237
65,5411283000017,Hoppy,test,10,20260237
27,5425036850019,Hoppy,test,10,20260237
156,5410228193371,Kriek,test,10,20260237
232,5411686700637,Kriek,test,10,20260237
153,5425007810806,Kriek,test,10,20260237
12,5410228141587,Lambic,test,10,20260237
116,5411656051097,Lambic,test,10,20260237
162,5425018070015,Lambic,test,10,20260237
83,54055520,Low/No alcohol,test,10,20260237
86,5410783031019,Low/No alcohol,test,10,20260237
90,54017016,Pils/Lager,test,10,20260237
218,54057142,Pils/Lager,test,10,20260237
81,8715608222557,Pils/Lager,test,10,20260237
183,5410702000805,Saison,test,10,20260237
242,5412138333311,Saison,test,10,20260237
20,5425005660205,Saison,test,10,20260237
131,5410769200088,Scotch,test,10,20260237
233,5413023000264,Scotch,test,10,20260237
201,741360987296,Stout/Porter,test,10,20260237
173,5425005660809,Stout/Porter,test,10,20260237
123,5425026960018,Stout/Porter,test,10,20260237
188,8711406017487,Stout/Porter,test,10,20260237
148,5400000000012,Strong ale,test,10,20260237
51,5411081000523,Strong ale,test,10,20260237
235,5412858000104,Strong ale,test,10,20260237
91,8711406995495,Strong ale,test,10,20260237
117,9120041150678,Strong ale,test,10,20260237
57,5410228141921,Tripel,test,10,20260237
189,5410228145912,Tripel,test,10,20260237
240,5410783004594,Tripel,test,10,20260237
135,5410908000029,Tripel,test,10,20260237
69,5411081000332,Tripel,test,10,20260237
23,5411681014005,Tripel,test,10,20260237
47,5412583240363,Tripel,test,10,20260237
17,5425014687019,Tripel,test,10,20260237
176,5411858000183,West Flanders ale,test,10,20260237
244,5413784109060,West Flanders ale,test,10,20260237
152,5410702001307,Wheat,test,10,20260237
44,5411633250055,Wheat,test,10,20260237
172,5411681400310,Wheat,test,10,20260237
197,5412896000111,Wheat,test,10,20260237
32,54050051,Amber,train,10,20260237
158,54107014,Amber,train,10,20260237
63,701197206052,Amber,train,10,20260237
210,5413982001005,Amber,train,10,20260237
128,5425014681017,Amber,train,10,20260237
6,8711406031766,Amber,train,10,20260237
11,8718754310017,Amber,train,10,20260237
92,9120041150685,Amber,train,10,20260237
70,54085190,Blond,train,10,20260237
127,54138278,Blond,train,10,20260237
5,5400000000006,Blond,train,10,20260237
62,5410228134879,Blond,train,10,20260237
71,5410228218791,Blond,train,10,20260237
248,5410263015669,Blond,train,10,20260237
246,5410783001432,Blond,train,10,20260237
64,5410908000128,Blond,train,10,20260237
110,5411098730291,Blond,train,10,20260237
94,5412186003013,Blond,train,10,20260237
76,5412583240837,Blond,train,10,20260237
215,5413963100017,Blond,train,10,20260237
125,5413963300011,Blond,train,10,20260237
121,5414239000093,Blond,train,10,20260237
59,5425005660601,Blond,train,10,20260237
113,5425006700016,Blond,train,10,20260237
234,5425029490024,Blond,train,10,20260237
149,5425031010012,Blond,train,10,20260237
30,5430000043014,Blond,train,10,20260237
77,8711406023563,Blond,train,10,20260237
35,8711406995075,Blond,train,10,20260237
249,9120041150784,Blond,train,10,20260237
14,54040014,Brett/cofermented,train,10,20260237
150,5425024150275,Brett/cofermented,train,10,20260237
122,5425029020191,Brett/cofermented,train,10,20260237
222,5425029490055,Brett/cofermented,train,10,20260237
98,54055315,Brown,train,10,20260237
237,5400000000008,Brown,train,10,20260237
112,5410908000012,Brown,train,10,20260237
53,5411681037004,Brown,train,10,20260237
109,5412858000067,Brown,train,10,20260237
36,5412896000074,Brown,train,10,20260237
89,5412983140027,Brown,train,10,20260237
78,5425006240017,Brown,train,10,20260237
192,5410693100324,Brut,train,10,20260237
1,5413970150111,Brut,train,10,20260237
130,5425025910410,Brut,train,10,20260237
13,5410228196600,Christmas,train,10,20260237
180,5411633330047,Christmas,train,10,20260237
95,5412138303314,Christmas,train,10,20260237
106,5413977000044,Christmas,train,10,20260237
214,5425006240147,Christmas,train,10,20260237
60,5425029020078,Christmas,train,10,20260237
198,54079007,Dubbel,train,10,20260237
100,875213000082,Dubbel,train,10,20260237
16,5411098700003,Dubbel,train,10,20260237
111,5411276100540,Dubbel,train,10,20260237
107,5412343152332,Dubbel,train,10,20260237
174,5412583240356,Dubbel,train,10,20260237
48,8711406995211,Dubbel,train,10,20260237
250,5411223030067,Faro,train,10,20260237
151,5411516001491,Faro,train,10,20260237
179,5411081004736,Flanders old brown,train,10,20260237
161,5411686700057,Flanders old brown,train,10,20260237
159,5411686700668,Flanders old brown,train,10,20260237
247,5411081000264,Fruitbeer,train,10,20260237
207,5411223030036,Fruitbeer,train,10,20260237
50,5411223030043,Fruitbeer,train,10,20260237
184,5412783055019,Fruitbeer,train,10,20260237
33,5425005660465,Fruitbeer,train,10,20260237
177,5425100322608,Fruitbeer,train,10,20260237
72,54121096,Hoppy,train,10,20260237
143,5410228225928,Hoppy,train,10,20260237
213,5410783004099,Hoppy,train,10,20260237
